Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2021)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
;"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)"
"Aarhus";775;1.229;1.276;772;1.091;1.113;901;1.178;1.272;978;1.394;1.498
"Ikast-Brande";646;735;0;617;782;0;762;811;885;838;901;847
"Ringkøbing-Skjern";723;744;0;687;704;0;775;0;780;832;947;890
"Hedensted";707;783;0;711;727;0;782;0;993;873;978;941
"Morsø";627;665;0;570;0;0;728;0;0;0;0;0
"Skive";732;733;702;703;799;711;831;760;798;797;852;911
"Thisted";661;717;774;624;0;0;742;0;0;854;0;0
"Viborg";767;796;834;687;872;849;794;904;861;864;902;996
"Brønderslev";672;690;0;669;728;0;769;0;0;870;874;0
"Frederikshavn";697;683;673;649;729;713;796;0;786;876;892;0
"Vesthimmerland";784;668;0;728;724;0;756;750;629;873;864;0
"Læsø";0;0;0;0;0;0;822;0;0;0;0;0
"Rebild";0;740;0;653;0;0;809;0;0;883;1.018;0
"Mariagerfjord";698;720;0;686;825;0;814;853;706;862;842;0
"Jammerbugt";0;672;0;850;0;0;849;0;0;871;964;0
"Aalborg";715;940;968;707;873;904;813;1.006;1.031;916;1.049;1.126
"Hjørring";651;766;755;677;759;0;761;795;882;858;894;964
"Hele landet";803;923;1.100;779;901;993;884;928;1.095;957;1.175;1.403

0-værdier kan forekomme, hvis datagrundlaget er for mangelfuldt til 
at beregne en gennemsnitlig husleje for den valgte boligkategori.
Se siden 'Om data' for oplysninger om metode og databegrænsninger.
 
Kilde: SBSTs boligstatistiske database, BBR og Boligstøtteregister 2021 
