Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2016)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
"Aarhus";703;1.043;1.077;710;947;921;827;1.032;1.098;911;1.176;1.339
"Ikast-Brande";625;668;0;583;703;0;708;675;759;772;781;743
"Ringkøbing-Skjern";672;678;0;638;629;0;700;0;727;764;0;0
"Hedensted";673;687;0;676;681;0;794;0;0;830;880;883
"Morsø";597;594;0;513;0;0;699;841;0;0;0;0
"Skive";680;680;0;641;727;624;782;0;721;778;805;0
"Thisted";606;674;718;575;0;0;685;0;0;803;0;0
"Viborg";687;724;756;650;888;671;736;830;767;811;786;0
"Brønderslev";615;632;0;613;0;0;721;0;662;830;0;0
"Frederikshavn";638;636;608;595;700;0;741;0;726;836;0;0
"Vesthimmerland";734;626;0;631;703;0;715;677;593;800;0;0
"Læsø";0;0;0;0;0;0;766;0;0;0;0;0
"Rebild";0;643;0;722;0;0;753;0;0;852;0;0
"Mariagerfjord";682;664;0;644;674;0;764;819;673;790;734;0
"Jammerbugt";0;624;0;809;0;0;830;0;0;829;0;0
"Aalborg";675;832;841;638;802;778;777;968;904;898;890;932
"Hjørring";658;703;719;656;687;0;748;721;771;844;0;0
"Hele landet";751;787;920;725;782;837;836;862;978;907;963;1.168

0-værdier kan forekomme, hvis datagrundlaget er for mangelfuldt til 
at beregne en gennemsnitlig husleje for den valgte boligkategori.
Se siden 'Om data' for oplysninger om metode og databegrænsninger.
 
Kilde: SBSTs boligstatistiske database, BBR og Boligstøtteregister 2021 
