Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2016)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
;"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)"
"København";814;804;963;850;812;956;971;1.107;1.105;1.095;1.303;1.331
"Frederiksberg";732;735;921;790;723;820;924;0;1.159;1.045;0;1.281
"Ballerup";920;0;0;821;0;801;977;0;0;1.051;1.099;0
"Brøndby";813;0;0;794;0;0;881;0;0;0;0;0
"Dragør";0;0;0;871;0;0;1.105;0;0;0;0;0
"Gentofte";865;824;896;871;864;892;1.029;1.090;1.257;1.230;0;0
"Gladsaxe";847;887;989;798;915;933;1.026;0;0;1.084;0;1.305
"Glostrup";664;756;859;746;757;780;909;0;0;0;0;1.356
"Herlev";910;0;0;818;0;0;913;0;0;1.016;0;0
"Albertslund";770;0;0;820;0;0;928;0;0;0;0;0
"Hvidovre";814;739;0;838;0;770;971;0;0;877;0;0
"Høje-Taastrup";853;986;0;826;661;911;926;0;960;1.108;0;950
"Lyngby-Taarbæk";890;881;923;867;931;763;1.013;972;1.038;0;0;1.490
"Rødovre";896;805;0;839;831;894;985;0;1.062;1.095;0;0
"Ishøj";0;0;0;767;0;1.062;824;0;0;1.046;0;0
"Tårnby";770;0;0;696;0;801;956;0;0;990;0;0
"Vallensbæk";0;0;0;835;677;835;1.088;0;0;1.001;1.067;1.165
"Furesø";891;0;0;847;0;804;927;0;1.113;1.065;0;1.226
"Allerød";0;0;0;805;750;0;948;0;1.020;0;0;0
"Fredensborg";903;0;0;768;0;995;934;0;0;1.013;0;1.268
"Helsingør";866;883;1.053;784;942;967;940;0;1.078;1.119;0;1.076
"Hillerød";818;875;1.010;824;748;964;944;0;1.077;1.043;1.166;1.207
"Hørsholm";841;908;0;847;890;776;1.046;0;1.305;1.063;0;0
"Rudersdal";872;968;0;847;958;882;1.002;0;1.189;0;0;1.200
"Egedal";0;0;0;835;0;0;999;0;1.074;1.104;0;1.159
"Frederikssund";730;901;0;702;0;0;896;0;1.061;1.115;1.193;1.074
"Greve";0;0;0;728;0;0;894;0;0;1.093;0;0
"Køge";689;842;985;813;0;882;973;0;1.050;1.013;1.006;939
"Halsnæs";698;883;0;845;0;0;853;0;0;1.103;0;1.046
"Roskilde";959;851;960;845;832;798;1.036;1.128;1.104;1.119;0;1.262
"Solrød";0;0;0;813;0;0;956;0;0;1.067;0;0
"Gribskov";0;932;0;0;0;830;955;0;0;1.000;0;0
"Odsherred";712;719;0;651;0;0;784;0;854;873;0;0
"Holbæk";807;775;877;789;854;0;854;0;0;969;878;902
"Faxe";667;759;0;749;1.019;0;863;0;0;936;0;0
"Kalundborg";760;697;748;711;878;737;801;0;0;872;0;0
"Ringsted";712;751;899;714;0;0;866;0;765;966;0;1.048
"Slagelse";758;765;809;689;716;739;871;893;921;1.051;0;849
"Stevns";825;797;0;0;0;0;908;0;0;1.033;0;0
"Sorø";784;778;0;721;0;0;791;0;0;863;804;0
"Lejre";0;0;0;864;0;0;959;0;0;996;0;0
"Lolland";650;570;0;648;0;0;817;0;0;870;0;0
"Næstved";637;722;823;696;642;846;805;0;873;945;859;0
"Guldborgsund";756;637;702;632;716;0;807;785;0;904;0;0
"Vordingborg";746;703;776;649;735;917;815;0;0;937;790;0
"Bornholm";765;660;0;746;0;0;815;0;0;862;0;0
"Middelfart";702;755;0;622;788;0;763;892;827;872;908;929
"Assens";814;699;0;664;0;0;795;787;822;932;789;0
"Faaborg-Midtfyn";642;668;770;649;677;0;785;762;852;925;858;0
"Kerteminde";669;735;0;634;733;0;787;853;0;862;0;921
"Nyborg";708;718;707;714;0;685;773;0;847;860;0;994
"Odense";647;805;845;571;804;832;730;936;909;825;951;1.015
"Svendborg";716;760;805;714;754;0;844;918;882;863;888;0
"Nordfyn";688;663;0;612;0;718;785;0;0;844;860;0
"Langeland";0;626;0;540;0;0;675;0;0;901;0;0
"Ærø";0;0;0;0;0;0;722;0;0;0;0;0
"Haderslev";713;671;707;622;674;0;745;0;0;780;0;0
"Billund";478;633;0;456;742;0;679;0;0;754;0;0
"Sønderborg";570;659;707;565;733;750;668;0;0;766;768;879
"Tønder";591;573;0;628;687;0;681;688;0;788;0;0
"Esbjerg";586;731;787;590;731;814;726;834;846;781;917;849
"Fanø";0;0;0;0;0;0;753;0;0;0;0;0
"Varde";631;682;733;646;0;0;749;0;0;782;0;0
"Vejen";686;626;0;604;0;0;672;0;0;791;0;0
"Aabenraa";682;646;0;593;0;0;708;762;738;801;854;0
"Fredericia";648;698;707;635;720;782;740;824;913;837;912;850
"Horsens";632;764;796;637;664;815;796;847;884;872;870;892
"Kolding";615;778;846;667;799;717;788;801;929;815;0;888
"Vejle";681;795;805;647;743;801;792;951;893;878;930;948
"Herning";570;771;779;590;780;762;750;795;821;799;860;843
"Holstebro";722;739;0;677;638;778;745;797;787;853;0;0
"Lemvig";619;610;0;537;0;0;695;0;0;0;0;0
"Struer";721;623;0;602;0;0;716;0;0;738;0;0
"Syddjurs";767;700;0;702;0;0;775;0;0;823;0;0
"Norddjurs";662;632;0;608;568;677;760;0;0;777;866;0
"Favrskov";764;736;0;717;0;0;808;0;0;845;0;0
"Odder";796;778;0;726;0;0;852;0;0;883;0;0
"Randers";663;641;643;615;593;621;805;0;679;855;883;861
"Silkeborg";672;830;840;688;808;0;795;810;903;878;953;916
"Samsø";0;0;0;0;0;0;743;0;0;0;0;0
"Skanderborg";684;824;0;684;781;683;761;0;0;871;0;965
