Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2019)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
"Hørsholm";880;998;0;881;907;814;1.064;0;1.294;1.101;0;0
"Rudersdal";902;1.042;0;870;1.029;912;1.037;0;1.231;0;0;1.348
"Egedal";0;0;0;891;0;0;1.026;0;1.158;1.109;0;0
"Frederikssund";784;945;0;753;0;0;931;0;1.116;1.059;1.316;1.121
"Greve";0;0;0;759;0;0;900;0;1.384;1.131;0;0
"Køge";704;909;1.091;836;0;927;1.013;0;1.103;1.042;0;1.249
"Halsnæs";736;930;0;878;0;0;866;0;0;1.104;0;1.070
"Roskilde";999;967;1.034;937;884;874;1.091;1.176;1.156;1.156;0;1.303
"Solrød";0;0;0;815;0;0;976;0;0;1.061;0;0
"Gribskov";0;993;0;0;0;886;991;0;0;1.056;1.151;0
"Odsherred";728;742;0;658;0;0;808;0;899;905;0;0
"Holbæk";857;854;962;833;866;974;876;0;0;997;878;956
"Faxe";699;837;0;791;1.029;0;907;0;0;965;0;0
"Kalundborg";765;744;789;714;841;786;838;0;909;895;0;0
"Ringsted";677;814;960;735;0;0;879;0;843;952;0;1.112
"Slagelse";782;838;893;717;772;869;899;983;1.019;1.062;0;912
"Stevns";844;859;0;0;0;0;912;0;0;1.064;0;0
"Sorø";805;843;0;750;0;0;812;0;0;891;870;0
"Lejre";0;0;0;917;0;0;1.012;0;0;1.017;0;0
"Lolland";656;609;0;655;0;0;816;0;0;869;0;0
"Næstved";665;774;909;720;667;912;838;0;945;963;1.014;924
"Guldborgsund";755;679;758;622;762;0;817;820;0;935;0;0
"Vordingborg";768;737;834;677;767;1.007;838;0;0;963;854;0
"Bornholm";805;706;0;765;0;0;844;0;0;901;0;0
"Middelfart";728;812;0;649;859;0;788;936;901;893;957;926
"Assens";820;739;0;679;0;816;821;816;869;909;816;0
"Faaborg-Midtfyn";666;716;766;662;720;0;804;802;893;930;880;0
"Kerteminde";669;805;0;660;748;0;809;936;0;883;0;952
"Nyborg";723;761;764;759;0;712;803;0;892;886;1.039;1.024
"Odense";669;885;942;606;884;898;765;962;962;861;1.042;1.150
"Svendborg";712;808;856;736;824;0;848;882;921;911;925;0
"Nordfyn";717;701;0;635;0;737;800;0;0;870;908;0
"Langeland";0;667;0;626;0;0;681;0;0;923;0;0
"Ærø";0;0;0;0;0;0;788;0;0;0;0;0
"Haderslev";725;706;712;664;700;0;761;0;0;799;0;0
"Billund";549;677;0;524;840;0;717;0;0;820;0;0
"Sønderborg";594;697;737;596;787;770;688;725;856;786;766;870
"Tønder";614;586;0;642;732;0;684;745;0;824;0;0
"Esbjerg";602;801;844;623;778;905;751;880;896;796;987;876
"Fanø";0;0;0;0;0;0;790;0;0;0;0;0
"Varde";640;729;762;666;0;0;760;0;0;802;0;0
"Vejen";680;679;0;621;0;0;689;0;0;780;814;0
"Aabenraa";722;686;0;635;696;0;738;835;793;838;887;0
"Fredericia";648;762;782;659;756;878;753;862;967;869;933;895
"Horsens";686;840;877;674;779;874;837;918;917;903;895;995
"Kolding";650;846;937;696;867;779;814;921;1.037;850;917;959
"Vejle";710;889;860;664;869;951;812;1.023;904;910;1.021;1.020
"Herning";614;836;851;616;849;814;780;826;862;827;928;878
"Holstebro";751;785;0;714;675;877;777;893;889;865;0;0
"Lemvig";736;624;0;568;0;0;737;0;0;0;0;0
"Struer";760;650;0;635;0;0;741;0;0;734;0;0
"Syddjurs";806;738;0;733;0;0;808;0;0;887;894;0
"Norddjurs";665;665;674;619;591;707;771;0;0;812;0;0
"Favrskov";809;810;0;729;0;0;835;0;0;872;909;905
"Odder";844;841;0;758;0;0;908;0;0;919;0;0
"Randers";684;697;697;653;649;679;848;0;844;915;884;913
"Silkeborg";701;905;925;718;827;0;822;855;948;911;988;948
"Samsø";0;0;0;0;0;0;778;0;0;0;0;0
"Skanderborg";713;881;909;723;842;748;809;0;0;917;0;1.084
"Aarhus";743;1.167;1.204;749;1.057;1.060;868;1.130;1.222;935;1.350;1.462
"Ikast-Brande";630;700;0;605;748;0;736;717;837;806;833;794
"Ringkøbing-Skjern";707;718;0;667;675;0;739;0;726;807;0;866
"Hedensted";681;741;0;697;712;0;791;0;0;850;932;917
"Morsø";614;634;0;553;0;0;716;0;0;0;0;0
"Skive";714;709;691;679;756;687;811;741;738;799;821;873
"Thisted";631;716;747;606;0;0;716;0;0;837;0;0
"Viborg";717;767;799;672;817;830;770;889;824;837;858;901
"Brønderslev";620;674;0;636;709;0;741;0;0;859;848;0
"Frederikshavn";663;680;646;628;702;0;776;0;779;854;0;845
"Vesthimmerland";764;652;0;707;696;0;731;722;631;842;0;0
"Læsø";0;0;0;0;0;0;787;0;0;0;0;0
"Rebild";0;699;0;712;0;0;786;0;0;877;0;0
"Mariagerfjord";684;699;0;664;811;0;784;834;709;834;797;0
"Jammerbugt";0;652;0;833;0;0;846;0;0;856;0;0
"Aalborg";702;927;946;681;828;877;801;997;965;909;992;1.093
"Hjørring";665;735;749;675;714;0;756;783;826;851;870;0
"Hele landet";779;867;1.030;756;852;922;862;917;1.043;932;1.112;1.334

0-værdier kan forekomme, hvis datagrundlaget er for mangelfuldt til 
at beregne en gennemsnitlig husleje for den valgte boligkategori.
Se siden 'Om data' for oplysninger om metode og databegrænsninger.
 
Kilde: SBSTs boligstatistiske database, BBR og Boligstøtteregister 2021 
