Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2019)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
;"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)"
"København";846;909;1.110;880;929;1.089;996;1.106;1.193;1.117;1.556;1.564
"Frederiksberg";729;838;1.062;790;818;909;921;0;1.241;1.085;0;1.352
"Ballerup";923;0;0;841;0;0;998;0;0;1.095;1.117;1.371
"Brøndby";889;0;0;822;0;0;898;0;0;0;0;0
"Dragør";0;0;0;880;0;0;1.108;0;0;0;0;0
"Gentofte";861;929;963;877;898;968;1.094;1.280;1.285;1.258;0;0
"Gladsaxe";903;953;1.164;833;963;1.010;1.058;0;0;1.137;0;1.475
"Glostrup";613;771;0;757;838;902;908;0;0;0;0;1.518
"Herlev";861;0;0;829;0;0;935;0;0;1.007;0;0
"Albertslund";768;0;0;873;0;0;970;0;0;0;0;0
"Hvidovre";819;827;0;876;0;817;988;0;0;890;0;0
"Høje-Taastrup";873;1.030;0;850;803;1.019;931;0;1.003;1.148;0;1.194
"Lyngby-Taarbæk";935;976;1.073;906;967;875;1.046;1.212;1.096;0;0;1.480
"Rødovre";902;858;0;877;900;990;982;0;1.123;1.082;0;1.436
"Ishøj";0;0;0;776;0;1.193;839;0;0;1.056;0;0
"Tårnby";790;0;0;718;0;822;999;0;0;1.041;0;0
"Vallensbæk";0;0;0;806;746;990;1.054;0;0;981;1.270;1.228
"Furesø";982;0;0;870;0;791;961;0;1.154;1.098;0;1.315
"Allerød";0;0;0;858;801;0;982;0;1.116;1.043;0;0
"Fredensborg";954;0;0;769;0;1.055;938;0;0;1.049;0;1.408
"Helsingør";935;943;1.151;837;970;1.032;967;0;1.214;1.062;0;1.114
"Hillerød";853;986;1.155;858;1.028;1.176;966;0;1.164;1.082;1.355;1.247
