Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2018)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
"Fredericia";674;740;758;664;736;827;754;864;959;870;923;889
"Horsens";657;816;853;658;737;866;820;896;910;894;873;965
"Kolding";637;824;920;692;822;741;812;915;1.013;838;901;917
"Vejle";705;856;844;660;812;931;812;1.009;895;898;990;978
"Herning";600;812;834;605;837;809;767;834;842;816;905;873
"Holstebro";742;769;0;704;653;844;770;859;867;849;0;0
"Lemvig";706;598;0;557;0;0;723;0;0;0;0;0
"Struer";743;632;0;625;0;0;732;0;0;731;0;0
"Syddjurs";794;735;0;704;0;0;800;0;0;866;900;0
"Norddjurs";668;658;0;617;589;701;769;0;0;804;0;0
"Favrskov";808;788;0;740;0;0;826;0;0;861;0;894
"Odder";838;815;0;764;0;0;901;0;0;913;0;0
"Randers";683;685;692;639;643;668;840;0;694;899;872;898
"Silkeborg";691;881;909;713;824;0;814;816;949;902;976;945
"Samsø";0;0;0;0;0;0;759;0;0;0;0;0
"Skanderborg";709;869;0;717;820;709;800;0;0;915;0;1.020
"Aarhus";730;1.131;1.167;740;1.013;979;853;1.084;1.176;925;1.266;1.418
"Ikast-Brande";628;689;0;601;735;0;730;721;823;810;828;793
"Ringkøbing-Skjern";699;689;0;658;664;0;724;0;725;788;0;0
"Hedensted";683;702;0;694;708;0;796;0;0;854;922;911
"Morsø";616;607;0;543;0;0;715;0;0;0;0;0
"Skive";710;699;668;662;750;675;810;0;734;796;818;0
"Thisted";626;700;719;619;0;0;708;0;0;834;0;0
"Viborg";708;757;784;668;942;715;769;873;803;826;848;904
"Brønderslev";610;669;0;625;694;0;730;0;0;845;827;0
"Frederikshavn";656;661;652;621;711;0;766;0;785;844;0;0
"Vesthimmerland";768;645;0;700;699;0;740;710;620;827;0;0
"Læsø";0;0;0;0;0;0;776;0;0;0;0;0
"Rebild";0;680;0;722;0;0;776;0;0;869;0;0
"Mariagerfjord";686;677;0;667;705;0;779;837;703;834;755;0
"Jammerbugt";0;654;0;824;0;0;843;0;853;849;0;0
"Aalborg";678;901;918;669;832;856;789;979;940;912;926;1.003
"Hjørring";667;725;761;668;708;0;760;749;820;866;849;0
"Hele landet";774;839;996;748;828;885;855;900;1.018;925;1.064;1.283

0-værdier kan forekomme, hvis datagrundlaget er for mangelfuldt til 
at beregne en gennemsnitlig husleje for den valgte boligkategori.
Se siden 'Om data' for oplysninger om metode og databegrænsninger.
 
Kilde: SBSTs boligstatistiske database, BBR og Boligstøtteregister 2021 
