Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2018)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
;"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)"
"København";844;867;1.064;876;890;1.053;991;1.157;1.136;1.103;1.499;1.514
"Frederiksberg";728;799;1.025;792;756;877;924;0;1.225;1.057;0;1.337
"Ballerup";930;0;0;843;0;839;996;0;0;1.088;1.104;0
"Brøndby";875;0;0;813;0;0;898;0;0;0;0;0
"Dragør";0;0;0;876;0;0;1.105;0;0;0;0;0
"Gentofte";857;888;936;885;875;920;1.085;1.126;1.300;1.238;0;0
"Gladsaxe";891;911;1.063;827;906;989;1.049;0;0;1.133;0;1.434
"Glostrup";633;763;0;747;806;832;891;0;0;0;0;1.414
"Herlev";870;0;0;815;0;0;936;0;0;1.003;0;0
"Albertslund";768;0;0;852;0;0;947;0;0;0;0;0
"Hvidovre";811;793;0;852;0;822;976;0;0;889;0;0
"Høje-Taastrup";870;1.037;0;845;786;995;927;0;986;1.118;0;1.114
"Lyngby-Taarbæk";922;939;1.028;890;944;785;1.032;1.203;1.079;0;0;1.475
"Rødovre";909;840;0;874;889;950;987;0;1.191;1.089;0;1.127
"Ishøj";0;0;0;770;0;1.119;825;0;0;1.050;0;0
"Tårnby";791;0;0;724;0;774;982;0;0;1.009;0;0
"Vallensbæk";0;0;0;805;736;939;1.094;0;0;1.010;1.180;1.207
"Furesø";1.004;0;0;876;0;804;958;0;1.150;1.089;0;1.302
"Allerød";0;0;0;858;796;0;976;0;1.108;1.025;0;0
"Fredensborg";937;0;0;768;0;1.044;935;0;0;1.044;0;1.339
"Helsingør";923;929;1.108;824;970;1.011;960;0;1.179;1.105;0;1.097
"Hillerød";827;952;1.075;844;964;1.045;949;0;1.109;1.065;1.250;1.205
"Hørsholm";866;983;0;869;896;835;1.059;0;1.276;1.087;0;0
"Rudersdal";898;1.003;0;866;982;905;1.034;0;1.246;0;0;1.305
"Egedal";0;0;0;868;0;0;1.022;0;1.122;1.125;0;0
"Frederikssund";875;915;0;731;0;0;910;0;1.093;1.051;1.292;1.118
"Greve";0;0;0;753;0;0;894;0;1.230;1.118;0;0
"Køge";711;873;1.066;823;0;922;997;0;1.089;1.028;0;1.156
"Halsnæs";736;933;0;873;0;0;864;0;0;1.121;0;1.060
"Roskilde";980;934;1.036;899;908;841;1.063;1.168;1.133;1.130;0;1.227
"Solrød";0;0;0;817;0;0;990;0;0;1.078;0;0
"Gribskov";0;998;0;0;0;875;971;0;0;1.047;1.153;0
"Odsherred";738;735;0;676;0;0;807;0;885;901;0;0
"Holbæk";839;827;921;824;840;0;874;0;0;989;873;959
"Faxe";692;812;0;774;992;0;895;0;0;956;0;0
"Kalundborg";776;729;796;717;828;779;828;0;0;893;0;0
"Ringsted";696;798;940;722;0;0;870;0;799;961;0;1.093
"Slagelse";789;807;842;721;743;822;897;963;1.002;1.067;0;872
"Stevns";834;838;0;0;0;0;910;0;0;1.051;0;0
"Sorø";799;810;0;750;0;0;809;0;0;883;855;0
"Lejre";0;0;0;895;0;0;987;0;0;1.021;0;0
"Lolland";651;595;0;652;0;0;820;0;0;862;0;0
"Næstved";664;752;881;723;662;899;833;0;936;960;1.006;919
"Guldborgsund";749;668;748;619;707;0;805;812;0;903;0;0
"Vordingborg";761;722;823;670;761;955;834;0;0;952;839;0
"Bornholm";790;692;0;761;0;0;844;0;0;879;0;0
"Middelfart";717;798;0;640;855;0;779;920;869;889;934;928
"Assens";812;724;0;674;816;804;819;817;856;931;811;0
"Faaborg-Midtfyn";666;696;802;658;700;0;796;823;880;926;881;0
"Kerteminde";672;767;0;652;744;0;808;915;0;879;0;949
"Nyborg";727;745;764;748;0;692;791;0;902;884;980;1.018
"Odense";663;861;915;596;853;875;758;964;945;855;1.003;1.115
"Svendborg";725;796;843;732;802;0;853;884;913;898;922;0
"Nordfyn";716;686;0;631;0;753;800;0;0;853;895;0
"Langeland";0;655;0;609;0;0;678;0;0;917;0;0
"Ærø";0;0;0;0;0;0;774;0;0;0;0;0
"Haderslev";712;695;718;643;693;0;753;0;0;792;0;0
"Billund";526;669;0;498;777;0;704;0;0;789;0;0
"Sønderborg";587;678;719;589;785;769;685;710;851;784;758;848
"Tønder";610;581;0;640;731;0;687;737;0;819;0;0
"Esbjerg";601;783;828;609;782;828;747;874;888;794;928;881
"Fanø";0;0;0;0;0;0;774;0;0;0;0;0
"Varde";643;713;770;664;0;0;771;0;0;803;0;0
"Vejen";680;689;0;613;0;0;682;0;0;779;807;0
"Aabenraa";712;672;0;624;0;0;731;735;778;814;878;0
