Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2020)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
;"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)"
"København";846;941;1.155;880;952;1.125;996;1.149;1.246;1.122;1.593;1.622
"Frederiksberg";729;877;1.070;790;839;969;920;0;1.289;1.085;0;1.421
"Ballerup";907;0;0;841;0;884;999;0;0;1.097;1.235;1.396
"Brøndby";889;0;0;815;0;0;898;0;0;0;0;0
"Dragør";0;0;0;880;0;0;1.108;0;0;0;0;0
"Gentofte";861;973;988;877;937;981;1.094;1.125;1.381;1.236;0;0
"Gladsaxe";903;976;1.162;833;952;1.042;1.058;0;1.023;1.137;0;1.486
"Glostrup";613;778;0;758;846;937;908;0;0;0;0;1.585
"Herlev";861;0;0;829;0;0;935;0;0;1.007;0;1.541
"Albertslund";768;0;0;873;0;0;970;0;0;975;0;0
"Hvidovre";819;921;0;876;0;871;988;0;1.294;890;0;0
"Høje-Taastrup";873;1.082;0;850;866;1.022;931;0;1.005;1.148;1.151;1.299
"Lyngby-Taarbæk";936;1.024;1.111;906;1.078;904;1.046;0;1.145;0;1.908;1.575
"Rødovre";902;885;0;877;945;1.042;982;0;1.169;1.082;0;1.540
"Ishøj";0;0;0;776;0;1.201;839;0;0;1.056;0;0
"Tårnby";790;0;0;718;0;902;999;0;0;1.041;0;0
"Vallensbæk";0;0;0;806;761;1.020;1.054;0;0;981;1.187;1.287
"Furesø";982;0;0;870;0;843;968;0;1.182;1.098;0;1.368
"Allerød";0;0;0;858;836;0;982;0;1.138;1.043;0;0
"Fredensborg";954;0;0;770;0;1.124;937;0;0;1.049;0;1.430
"Helsingør";935;959;1.167;837;976;1.051;966;0;1.233;1.090;0;1.130
"Hillerød";904;1.041;1.206;856;1.042;1.177;966;0;1.189;1.099;1.331;1.322
"Hørsholm";880;1.064;0;881;950;968;1.064;0;1.309;1.101;0;0
"Rudersdal";902;1.122;0;870;1.029;956;1.037;0;1.306;0;0;1.382
"Egedal";0;0;0;891;0;0;1.026;0;1.225;1.109;1.279;0
"Frederikssund";784;949;0;753;0;0;931;0;1.132;1.058;1.356;1.135
"Greve";0;0;0;759;0;0;900;0;1.449;1.131;0;0
"Køge";704;917;0;836;0;932;1.013;0;1.131;1.042;0;1.212
"Halsnæs";736;965;0;878;0;0;866;0;0;1.104;0;1.151
"Roskilde";999;982;1.090;937;896;931;1.091;1.191;1.211;1.156;1.092;1.360
"Solrød";0;0;0;815;0;0;976;0;0;1.066;0;0
"Gribskov";0;1.015;0;0;0;908;991;0;0;1.056;0;1.177
"Odsherred";728;770;0;658;0;0;808;0;916;906;0;0
"Holbæk";857;874;968;833;907;1.025;877;0;0;995;888;1.039
"Faxe";699;848;0;791;1.042;0;907;0;0;965;0;0
"Kalundborg";770;758;800;714;838;827;838;0;917;899;0;0
"Ringsted";677;839;970;735;0;0;879;0;851;952;0;1.141
"Slagelse";782;867;921;718;803;880;899;1.013;1.059;912;0;896
"Stevns";844;880;0;0;0;0;912;0;0;1.064;0;0
"Sorø";805;851;0;750;0;0;812;0;0;890;944;0
"Lejre";0;0;0;917;0;0;1.012;0;0;1.022;0;0
"Lolland";653;621;0;655;0;0;808;0;0;869;0;0
"Næstved";665;801;929;720;688;936;840;0;973;992;966;1.084
"Guldborgsund";753;700;764;622;782;0;817;821;0;937;0;0
"Vordingborg";768;750;847;677;776;996;838;0;0;963;863;0
"Bornholm";779;707;0;765;0;0;844;0;0;901;0;0
"Middelfart";728;824;0;649;868;0;788;962;924;892;964;971
"Assens";820;741;0;679;864;832;821;811;886;909;836;0
"Faaborg-Midtfyn";666;726;774;662;715;0;804;806;911;914;912;0
"Kerteminde";669;823;0;665;767;0;809;996;0;887;0;946
"Nyborg";723;769;773;759;0;730;803;0;937;887;1.053;1.101
"Odense";669;907;971;606;899;921;765;991;982;861;1.097;1.214
"Svendborg";712;823;866;738;840;0;848;853;935;911;937;0
"Nordfyn";717;718;0;635;0;754;800;0;0;870;920;0
"Langeland";0;687;0;642;0;0;681;0;0;923;0;0
"Ærø";0;0;0;0;0;0;788;0;0;990;0;0
"Haderslev";725;712;740;664;703;0;761;0;0;799;0;0
"Billund";549;684;0;524;899;0;717;0;0;832;0;0
"Sønderborg";594;701;762;598;797;781;688;732;862;785;764;903
"Tønder";626;601;0;642;733;0;684;745;0;824;0;0
"Esbjerg";601;823;880;623;951;943;751;905;920;796;985;868
"Fanø";0;0;0;0;0;0;790;0;0;0;0;0
"Varde";640;746;772;667;0;0;761;0;0;804;0;0
"Vejen";680;691;0;621;0;0;689;0;0;809;830;0
"Aabenraa";714;697;0;635;707;0;738;840;796;839;893;0
"Fredericia";648;781;785;659;809;877;753;867;979;879;1.000;929
"Horsens";686;865;904;674;824;896;837;919;926;909;989;1.004
"Kolding";650;869;947;696;885;811;814;936;1.052;862;1.044;948
"Vejle";710;914;899;664;910;961;812;1.030;922;917;1.031;1.069
"Herning";619;840;874;616;876;829;780;844;870;827;943;912
"Holstebro";751;795;0;715;809;865;777;922;901;865;0;0
"Lemvig";731;634;0;566;0;0;737;0;0;0;0;0
"Struer";751;661;0;635;0;0;741;0;0;734;0;0
"Syddjurs";806;749;0;733;0;0;808;0;0;893;910;0
"Norddjurs";665;673;693;619;606;718;776;0;0;831;0;0
"Favrskov";809;814;0;729;0;0;835;0;0;871;0;926
"Odder";844;853;0;758;0;0;911;0;0;928;0;0
"Randers";685;709;738;653;668;690;848;0;713;915;924;936
"Silkeborg";702;925;910;718;834;0;821;867;974;910;1.003;1.019
"Samsø";0;0;0;0;0;0;778;0;0;0;0;0
"Skanderborg";713;900;918;723;888;759;809;0;0;917;1.091;1.116
"Aarhus";747;1.199;1.245;749;1.073;1.082;869;1.125;1.254;939;1.340;1.494
"Ikast-Brande";630;722;0;604;764;0;736;756;866;805;846;817
"Ringkøbing-Skjern";707;712;0;667;724;0;738;0;754;807;0;877
"Hedensted";711;752;0;697;727;0;791;0;0;850;961;938
"Morsø";614;650;0;553;0;0;715;0;0;0;0;0
"Skive";714;723;686;679;787;701;811;758;759;799;850;882
"Thisted";631;721;747;606;0;0;716;0;0;837;0;0
"Viborg";749;782;828;672;814;840;772;907;855;839;866;912
"Brønderslev";627;697;0;640;714;0;746;0;699;859;855;0
"Frederikshavn";663;674;660;628;727;0;776;0;770;856;878;831
"Vesthimmerland";764;663;0;707;692;0;731;743;622;842;0;0
"Læsø";0;0;0;0;0;0;787;0;0;0;0;0
"Rebild";0;726;0;653;0;0;786;0;0;870;1.042;0
"Mariagerfjord";684;704;0;664;814;0;784;859;683;838;828;0
"Jammerbugt";0;650;0;833;0;0;846;0;0;859;0;0
"Aalborg";702;935;960;682;835;885;800;994;1.001;898;1.048;1.114
"Hjørring";665;753;760;675;742;0;756;796;889;851;872;0
"Hele landet";780;891;1.061;756;877;952;862;915;1.074;935;1.134;1.390

0-værdier kan forekomme, hvis datagrundlaget er for mangelfuldt til 
at beregne en gennemsnitlig husleje for den valgte boligkategori.
Se siden 'Om data' for oplysninger om metode og databegrænsninger.
 
