Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2017)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
;"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)"
"København";833;849;1.021;867;858;1.005;986;1.152;1.124;1.101;1.481;1.450
"Frederiksberg";758;769;973;807;735;867;927;0;1.221;1.058;0;1.321
"Ballerup";925;0;0;834;0;0;993;0;0;1.076;1.095;0
"Brøndby";842;0;0;802;0;0;896;0;0;0;0;0
"Dragør";0;0;0;874;0;0;1.109;0;0;0;0;0
"Gentofte";868;861;923;884;849;922;1.076;1.116;1.279;1.238;1.413;0
"Gladsaxe";875;904;1.081;816;939;964;1.046;0;0;1.095;1.548;1.357
"Glostrup";670;765;0;760;785;856;893;0;0;0;0;1.371
"Herlev";917;0;0;831;0;0;931;0;0;1.000;0;0
"Albertslund";770;0;0;831;0;0;937;0;0;0;0;0
"Hvidovre";827;781;0;846;0;796;971;0;0;880;0;0
"Høje-Taastrup";854;1.001;0;840;764;972;929;0;947;1.108;0;941
"Lyngby-Taarbæk";909;911;1.010;877;946;808;1.023;1.167;1.064;0;0;1.510
"Rødovre";913;817;0;862;881;935;992;0;1.158;1.083;0;0
"Ishøj";0;0;0;769;0;1.098;823;0;0;1.046;0;0
"Tårnby";785;0;0;715;0;778;966;0;0;991;0;0
"Vallensbæk";0;0;0;838;717;928;1.088;0;0;1.010;1.086;1.215
"Furesø";912;0;0;868;0;819;950;0;1.130;1.076;0;1.339
"Allerød";0;0;0;814;801;0;958;0;1.071;1.020;0;0
"Fredensborg";918;0;0;775;0;1.001;937;0;0;1.021;0;1.282
"Helsingør";897;907;1.077;802;967;991;956;0;1.126;1.086;0;1.088
"Hillerød";837;909;1.055;831;772;1.022;949;0;1.096;1.058;1.183;1.191
"Hørsholm";858;952;0;860;898;848;1.059;0;1.264;1.076;0;0
"Rudersdal";892;999;0;864;968;905;1.022;0;1.230;0;0;1.222
"Egedal";0;0;0;867;0;0;1.017;0;1.097;1.118;0;0
"Frederikssund";753;930;0;718;0;0;907;0;1.079;1.055;1.250;1.095
"Greve";0;0;0;741;0;0;901;0;0;1.106;0;0
"Køge";702;851;1.060;806;0;875;986;0;1.074;1.029;0;0
"Halsnæs";723;910;0;865;0;0;870;0;0;1.123;0;1.064
"Roskilde";968;904;953;872;862;831;1.048;1.162;1.138;1.111;0;1.277
"Solrød";0;0;0;826;0;0;970;0;0;1.085;0;0
"Gribskov";0;947;0;0;0;860;971;0;0;1.028;0;0
"Odsherred";724;729;0;655;0;0;804;0;878;897;0;0
"Holbæk";824;805;917;811;843;0;866;0;0;988;913;922
"Faxe";681;791;0;765;1.000;0;882;0;0;949;0;0
"Kalundborg";768;717;779;715;825;766;823;0;0;879;0;0
"Ringsted";724;785;902;724;0;0;879;0;793;972;0;1.075
"Slagelse";776;789;829;711;738;786;884;944;972;1.060;0;864
"Stevns";843;826;0;0;0;0;916;0;0;1.053;0;0
"Sorø";797;797;0;733;0;0;804;0;0;872;838;0
"Lejre";0;0;0;886;0;0;975;0;0;1.013;0;0
"Lolland";650;591;0;651;0;0;822;0;0;857;0;0
"Næstved";662;737;867;711;653;876;824;0;929;953;0;0
"Guldborgsund";756;656;740;624;721;0;811;814;0;904;0;0
"Vordingborg";763;714;810;671;755;946;828;0;0;952;826;0
"Bornholm";777;677;0;758;0;0;826;0;0;866;0;0
"Middelfart";713;780;0;633;815;0;770;910;874;880;916;932
"Assens";816;708;0;677;807;0;813;798;842;937;801;0
"Faaborg-Midtfyn";653;695;0;655;683;0;795;774;880;934;870;0
"Kerteminde";670;758;0;645;749;0;795;908;0;874;0;940
"Nyborg";717;738;726;722;0;693;785;0;877;867;999;998
"Odense";656;842;888;587;843;858;746;957;931;845;987;1.061
"Svendborg";717;789;844;730;793;0;851;914;906;870;913;0
"Nordfyn";705;683;0;620;0;733;795;0;0;847;867;0
"Langeland";0;642;0;609;0;0;678;0;0;912;0;0
"Ærø";0;0;0;0;0;0;741;0;0;0;0;0
"Haderslev";719;679;721;638;686;0;754;0;0;789;0;0
"Billund";494;649;0;471;786;0;692;0;0;764;0;0
"Sønderborg";581;667;719;578;772;762;677;0;852;778;759;882
"Tønder";602;565;0;638;701;0;688;683;0;799;0;0
"Esbjerg";591;768;812;602;765;831;740;847;854;787;933;874
"Fanø";0;0;0;0;0;0;763;0;0;0;0;0
"Varde";640;704;765;665;0;0;758;0;0;786;0;0
"Vejen";682;667;0;609;0;0;678;0;0;794;797;0
"Aabenraa";700;666;0;607;0;0;719;0;763;810;866;0
"Fredericia";657;720;740;659;737;807;753;849;942;851;933;869
"Horsens";639;794;828;648;716;847;807;886;897;881;865;933
"Kolding";625;815;869;679;835;731;800;993;943;827;891;894
"Vejle";688;830;839;653;757;850;801;985;875;891;966;946
"Herning";578;808;801;599;830;805;761;815;844;809;880;859
"Holstebro";733;767;0;690;661;824;755;841;820;860;0;0
"Lemvig";630;608;0;546;0;0;707;0;0;0;0;0
"Struer";739;627;0;620;0;0;725;0;0;726;0;0
