Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2017)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
"Syddjurs";786;737;0;710;0;0;792;0;0;852;887;0
"Norddjurs";668;653;647;615;580;694;775;0;0;782;0;0
"Favrskov";776;772;0;726;0;0;821;0;0;852;0;897
"Odder";823;799;0;742;0;0;878;0;0;902;0;0
"Randers";680;672;675;629;637;650;832;0;705;877;879;866
"Silkeborg";689;871;867;705;833;0;804;804;933;895;954;948
"Samsø";0;0;0;0;0;0;743;0;0;0;0;0
"Skanderborg";692;859;844;702;812;716;779;0;0;888;0;1.001
"Aarhus";723;1.094;1.128;730;988;964;843;1.080;1.149;917;1.224;1.378
"Ikast-Brande";617;669;0;595;714;0;721;698;0;796;823;761
"Ringkøbing-Skjern";678;693;0;652;621;0;713;0;739;776;0;0
"Hedensted";678;694;0;689;694;0;796;0;0;851;912;896
"Morsø";604;599;0;521;0;0;707;0;0;0;0;0
"Skive";694;690;654;653;765;660;799;0;732;785;815;0
"Thisted";615;689;726;593;0;0;696;0;0;814;0;0
"Viborg";693;745;769;657;944;695;746;865;784;818;820;866
"Brønderslev";614;656;0;621;678;0;727;0;0;843;805;0
"Frederikshavn";648;647;626;609;696;0;756;0;746;843;0;790
"Vesthimmerland";744;641;0;669;683;0;726;691;611;821;0;0
"Læsø";0;0;0;0;0;0;767;0;0;0;0;0
"Rebild";0;667;0;722;0;0;766;0;0;859;0;0
"Mariagerfjord";685;673;0;665;696;0;774;819;696;814;754;0
"Jammerbugt";0;645;0;817;0;0;838;0;0;842;0;0
"Aalborg";680;878;902;651;826;831;784;1.007;929;904;920;965
"Hjørring";670;718;743;671;697;0;761;749;801;861;826;0
"Hele landet";766;821;964;739;813;871;848;896;1.003;917;1.029;1.230

0-værdier kan forekomme, hvis datagrundlaget er for mangelfuldt til 
at beregne en gennemsnitlig husleje for den valgte boligkategori.
Se siden 'Om data' for oplysninger om metode og databegrænsninger.
 
Kilde: SBSTs boligstatistiske database, BBR og Boligstøtteregister 2021 
