Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2015)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
;"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)"
"København";800;790;930;833;795;938;961;1.055;1.060;1.082;1.397;1.291
"Frederiksberg";698;721;893;781;689;809;909;0;1.140;1.036;0;1.263
"Ballerup";888;0;0;808;0;814;963;0;0;1.017;1.089;0
"Brøndby";801;0;0;785;0;0;865;0;0;0;0;0
"Dragør";0;0;0;872;0;0;1.104;0;0;0;0;0
"Gentofte";850;800;900;859;857;859;1.029;1.079;1.248;1.210;0;0
"Gladsaxe";835;862;988;786;855;922;1.013;0;0;1.103;0;1.276
"Glostrup";657;734;863;735;734;793;898;0;0;0;0;1.335
"Herlev";891;0;0;810;0;0;904;0;0;1.012;0;0
"Albertslund";771;0;0;809;0;0;922;0;0;0;0;0
"Hvidovre";810;726;0;835;732;768;967;0;0;867;0;0
"Høje-Taastrup";855;945;0;818;651;900;934;0;1.002;1.121;0;944
"Lyngby-Taarbæk";856;874;938;856;887;729;1.004;966;1.028;0;0;1.478
"Rødovre";884;785;989;824;808;854;980;0;1.037;1.079;0;0
"Ishøj";0;0;0;758;0;1.041;796;0;0;1.003;0;0
"Tårnby";751;0;0;688;0;765;949;0;0;982;0;0
"Vallensbæk";0;0;0;828;668;827;1.088;0;0;993;1.051;1.144
"Furesø";876;0;0;840;0;782;904;986;1.102;1.058;0;1.226
"Allerød";0;0;0;803;741;0;936;0;1.002;0;0;0
"Fredensborg";886;0;0;761;0;966;934;0;0;1.000;0;1.258
"Helsingør";857;868;1.027;769;913;969;935;0;1.068;1.074;0;1.053
"Hillerød";818;862;936;812;726;967;937;0;1.087;1.039;1.139;1.171
"Hørsholm";821;883;0;830;863;784;1.033;0;1.294;1.051;0;0
"Rudersdal";858;949;1.055;827;958;860;993;0;1.175;0;0;1.155
"Egedal";0;0;0;832;0;0;985;0;1.072;1.162;0;1.144
"Frederikssund";728;887;0;679;0;0;888;0;1.047;1.105;1.180;1.058
"Greve";0;0;0;718;0;0;887;0;0;1.087;0;0
"Køge";683;829;0;796;0;871;960;0;1.037;1.009;0;978
"Halsnæs";695;879;0;844;0;0;855;887;0;1.107;0;1.036
"Roskilde";918;823;939;790;802;803;997;1.113;1.115;1.088;0;1.184
"Solrød";0;0;0;784;0;0;934;0;0;1.062;0;0
"Gribskov";0;907;0;0;0;850;942;0;0;996;0;0
