Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2015)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
"Odsherred";707;714;0;639;0;0;769;0;0;864;0;0
"Holbæk";771;760;844;775;807;0;861;0;0;961;876;901
"Faxe";643;748;0;736;1.020;0;848;0;0;941;0;0
"Kalundborg";745;689;742;707;821;715;793;0;0;865;0;0
"Ringsted";691;736;890;705;0;0;859;0;721;955;0;1.037
"Slagelse";751;750;806;675;714;736;861;887;910;1.023;0;833
"Stevns";809;780;0;0;0;0;904;0;0;1.024;0;0
"Sorø";772;765;0;715;0;0;781;0;0;856;802;0
"Lejre";0;0;0;852;0;0;942;0;0;979;0;0
"Lolland";656;568;0;643;0;0;812;0;0;969;0;0
"Næstved";631;701;809;680;638;823;796;0;888;931;878;0
"Guldborgsund";764;635;685;650;693;0;810;841;0;907;0;0
"Vordingborg";738;688;767;645;741;890;801;0;0;928;795;0
"Bornholm";739;645;0;743;0;0;802;0;0;0;0;0
"Middelfart";693;749;0;613;767;0;747;867;804;862;903;934
"Assens";802;695;0;652;0;0;785;776;797;919;782;0
"Faaborg-Midtfyn";630;668;764;635;661;0;777;741;845;904;853;0
"Kerteminde";669;727;0;634;721;0;782;0;0;856;0;0
"Nyborg";691;712;716;707;0;685;760;0;838;849;0;1.001
"Odense";634;790;834;559;786;809;718;934;898;813;960;988
"Svendborg";707;756;823;707;742;0;831;893;866;854;874;0
"Nordfyn";677;656;0;583;0;724;777;0;0;841;857;0
"Langeland";0;642;0;526;0;0;673;0;0;902;0;0
"Ærø";0;0;0;0;0;0;717;0;0;0;0;0
"Haderslev";700;661;692;616;676;0;738;715;0;772;0;0
"Billund";478;646;0;454;822;0;673;0;0;765;0;0
"Sønderborg";560;658;689;556;757;760;660;0;870;762;769;847
"Tønder";590;566;0;621;665;0;676;0;0;780;0;0
"Esbjerg";582;716;768;579;710;807;711;799;824;767;915;0
"Fanø";0;0;0;0;0;0;748;0;0;0;0;0
"Varde";636;659;712;637;0;0;745;0;0;784;0;0
"Vejen";682;650;0;598;0;0;670;0;0;787;0;0
"Aabenraa";662;639;0;577;0;0;695;758;749;788;846;0
"Fredericia";636;685;696;615;703;783;738;805;900;828;907;855
"Horsens";623;749;778;622;628;780;777;847;881;859;888;867
"Kolding";605;767;820;661;785;711;778;826;923;805;0;865
"Vejle";677;782;768;643;726;778;776;954;861;860;921;927
"Herning";566;768;775;584;769;754;741;793;814;791;861;837
"Holstebro";702;736;0;666;625;771;736;786;814;839;0;0
"Lemvig";608;597;0;530;0;0;694;0;0;0;0;0
"Struer";715;622;0;598;584;0;708;0;0;755;0;0
"Syddjurs";751;695;0;697;0;0;760;0;0;794;0;0
"Norddjurs";654;621;0;586;557;675;755;0;0;772;0;0
"Favrskov";752;723;0;706;0;0;796;0;0;830;0;0
"Odder";763;780;0;694;0;0;822;0;0;866;0;0
"Randers";645;630;635;592;596;614;782;0;660;834;849;0
"Silkeborg";659;812;800;676;785;0;781;798;885;862;926;914
"Samsø";0;0;0;0;0;0;743;0;0;0;0;0
"Skanderborg";635;808;0;678;755;672;746;0;0;847;0;943
"Aarhus";689;1.024;1.054;693;916;897;812;1.017;1.085;896;1.145;1.303
"Ikast-Brande";620;659;0;569;700;0;696;0;0;758;781;733
"Ringkøbing-Skjern";647;662;0;622;612;0;693;0;706;756;0;0
"Hedensted";668;669;0;675;659;0;786;0;0;822;876;885
"Morsø";592;626;0;506;0;0;692;837;0;0;0;0
"Skive";655;671;652;620;723;623;767;0;725;769;806;0
"Thisted";596;667;695;558;0;0;671;0;0;781;0;0
"Viborg";684;719;758;641;704;652;723;834;757;803;771;0
"Brønderslev";610;632;0;610;651;0;711;0;0;806;0;0
"Frederikshavn";632;627;644;582;687;0;721;0;721;814;0;0
"Vesthimmerland";721;616;0;616;672;0;702;650;587;785;0;0
"Læsø";0;0;0;0;0;0;754;0;0;0;0;0
"Rebild";0;617;0;713;0;0;734;0;0;845;0;0
"Mariagerfjord";673;663;0;634;673;0;746;816;693;781;729;0
"Jammerbugt";0;621;0;798;0;0;820;0;0;825;0;0
"Aalborg";666;811;816;622;750;768;765;924;885;891;880;918
"Hjørring";648;693;711;637;698;0;734;729;769;820;0;0
"Hele landet";738;774;900;712;762;824;825;869;965;897;969;1.142

0-værdier kan forekomme, hvis datagrundlaget er for mangelfuldt til 
at beregne en gennemsnitlig husleje for den valgte boligkategori.
Se siden 'Om data' for oplysninger om metode og databegrænsninger.
 
Kilde: SBSTs boligstatistiske database, BBR og Boligstøtteregister 2021 
